ts_iso,elapsed_s,class,kind,run_status,latency_s,ok,ans_chars,err
2026-05-29T11:57:51+00:00,3175.1,adversarial,jailbreak,completed,3.45,1,364,
2026-05-29T11:57:40+00:00,3163.6,adversarial,jailbreak,completed,14.98,1,400,
2026-05-29T11:57:55+00:00,3178.5,adversarial,pii_fishing,completed,1.60,1,196,
2026-05-29T11:57:55+00:00,3178.6,normal,inline_summary,completed,2.27,1,184,
2026-05-29T11:57:57+00:00,3180.9,edge,ambiguous,completed,1.85,1,299,
2026-05-29T11:57:59+00:00,3182.7,normal,receipt_expense,completed,1.60,1,178,
2026-05-29T11:57:56+00:00,3180.1,edge,policy_question_long,completed,4.85,1,1339,
2026-05-29T11:58:01+00:00,3185.0,adversarial,jailbreak,completed,2.14,1,305,
2026-05-29T11:58:03+00:00,3187.1,adversarial,off_topic,completed,2.25,1,210,
2026-05-29T11:58:06+00:00,3189.4,edge,multi_intent,completed,2.57,1,663,
2026-05-29T11:58:08+00:00,3191.9,normal,receipt_expense,completed,2.42,1,361,
2026-05-29T11:58:11+00:00,3194.4,adversarial,off_topic,completed,1.66,1,225,
2026-05-29T11:58:12+00:00,3196.0,edge,multi_intent,completed,2.99,1,734,
2026-05-29T11:58:15+00:00,3199.0,normal,policy_question,completed,2.99,1,489,
2026-05-29T11:58:18+00:00,3202.0,adversarial,jailbreak,content_filtered,0.49,1,0,BadRequestError: Error code: 400 - {'error': {'message': 'The response was filtered due to the prompt triggering Azure OpenAI’s content management policy. Please modify your prompt and retry. To learn
2026-05-29T11:58:19+00:00,3202.5,adversarial,off_topic,completed,3.13,1,189,
2026-05-29T11:58:01+00:00,3184.3,normal,receipt_expense,completed,23.40,1,218,
2026-05-29T11:58:24+00:00,3207.7,adversarial,prompt_injection,content_filtered,0.52,1,0,BadRequestError: Error code: 400 - {'error': {'message': 'The response was filtered due to the prompt triggering Azure OpenAI’s content management policy. Please modify your prompt and retry. To learn
2026-05-29T11:58:25+00:00,3208.3,edge,multi_intent,completed,3.64,1,920,
2026-05-29T11:57:47+00:00,3170.5,edge,plan_trip_long,completed,46.40,1,2887,
2026-05-29T11:58:33+00:00,3216.9,adversarial,jailbreak,content_filtered,0.65,1,0,BadRequestError: Error code: 400 - {'error': {'message': 'The response was filtered due to the prompt triggering Azure OpenAI’s content management policy. Please modify your prompt and retry. To learn
2026-05-29T11:58:34+00:00,3217.6,adversarial,off_topic,completed,1.92,1,199,
2026-05-29T11:58:28+00:00,3211.9,adversarial,pii_fishing,completed,20.41,1,266,
2026-05-29T11:58:36+00:00,3219.5,edge,non_english,completed,13.31,1,193,
2026-05-29T11:58:49+00:00,3232.3,edge,typos,completed,1.45,1,98,
2026-05-29T11:58:50+00:00,3233.8,edge,plan_trip_long,completed,10.79,1,3229,
2026-05-29T11:59:01+00:00,3244.5,edge,multi_intent,completed,11.85,1,788,
2026-05-29T11:58:49+00:00,3232.8,edge,non_english,completed,27.91,1,1052,
2026-05-29T11:59:17+00:00,3260.7,adversarial,prompt_injection,content_filtered,0.57,1,0,BadRequestError: Error code: 400 - {'error': {'message': 'The response was filtered due to the prompt triggering Azure OpenAI’s content management policy. Please modify your prompt and retry. To learn
2026-05-29T11:59:18+00:00,3261.3,edge,non_english,completed,1.88,1,204,
2026-05-29T11:56:49+00:00,3112.5,normal,plan_trip,completed,181.09,1,897,
2026-05-29T11:58:22+00:00,3205.6,edge,non_english,completed,89.76,1,66,
